iter	RMSE
0	0.3968630387
1	0.3909461531
2	0.3839877153
3	0.3774786455
4	0.370816412
5	0.3668770125
6	0.3603183026
7	0.3547847061
8	0.3477159777
9	0.3423865576
10	0.336383664
11	0.3325666748
12	0.3272143602
13	0.3240588805
14	0.3201267622
15	0.3156110112
16	0.3115750023
17	0.3071015558
18	0.3034732811
19	0.2993493537
20	0.2949553071
21	0.2912046793
22	0.2881139521
23	0.2844934033
24	0.280303585
25	0.2762129125
26	0.2724385701
27	0.2689311229
28	0.2659164715
29	0.2628523529
30	0.2596596727
31	0.2572857502
32	0.25451526
33	0.2517668005
34	0.2490405092
35	0.2465187703
36	0.2444828308
37	0.2418709849
38	0.2399003371
39	0.2379406315
40	0.2352301358
41	0.2328106956
42	0.2310246072
43	0.2297362229
44	0.22693694
45	0.224424114
46	0.2225638053
47	0.2203910337
48	0.2188176168
49	0.2165252004
50	0.2148284945
51	0.2127962134
52	0.2109243646
53	0.2092744927
54	0.2082551748
55	0.2063690682
56	0.2053070032
57	0.2037919175
58	0.2020958474
59	0.2004300716
60	0.1988377465
61	0.1970107258
62	0.1957763109
63	0.1940524739
64	0.1929490607
65	0.1917103905
66	0.190654508
67	0.1894416393
68	0.1879853617
69	0.1866222947
70	0.1855461041
71	0.1845829882
72	0.1834112771
73	0.1824686728
74	0.181202825
75	0.1801173224
76	0.1792619256
77	0.1785172516
78	0.178230217
79	0.1772399761
80	0.1763389299
81	0.1750698848
82	0.1739244464
83	0.1731162955
84	0.1719942573
85	0.1710279089
86	0.1698993169
87	0.169465462
88	0.1690052778
89	0.1681639293
90	0.1675332968
91	0.1667411942
92	0.1662222555
93	0.1656922806
94	0.1652638717
95	0.1646065961
96	0.1639949435
97	0.1634713773
98	0.1628370695
99	0.1626358864
100	0.1621710514
101	0.1614066446
102	0.1610272779
103	0.1606336422
104	0.1600296465
105	0.1596688921
106	0.1594398895
107	0.1589988074
108	0.1586676606
109	0.1580746097
110	0.1576755266
111	0.1572465049
112	0.1566808781
113	0.1559792852
114	0.1554114189
115	0.1549307754
116	0.1544834838
117	0.1540483794
118	0.1535193935
119	0.1531661079
120	0.1526810986
121	0.1522973031
122	0.1520722087
123	0.1517107336
124	0.1511349314
125	0.1507376045
126	0.1504181886
127	0.1499401059
128	0.1496765993
129	0.1493949713
130	0.1489878781
131	0.148376904
132	0.1478572955
133	0.1475566721
134	0.1472223296
135	0.146834037
136	0.1466316761
137	0.1464230445
138	0.1459927509
139	0.1456175618
140	0.1451648824
141	0.1448199685
142	0.1443182902
143	0.1436810452
144	0.1432995039
145	0.1429012558
146	0.1427349064
147	0.1425506805
148	0.1422288602
149	0.1418823132
150	0.1416999394
151	0.1414737036
152	0.1413201494
153	0.1408723242
154	0.1405572451
155	0.1402932752
156	0.1401112742
157	0.1399293689
158	0.1394996153
159	0.1393088502
160	0.1391200747
161	0.1387378975
162	0.13848162
163	0.1383432078
164	0.1380293858
165	0.1378175224
166	0.1375998545
167	0.1371718944
168	0.1368326352
169	0.1366153217
170	0.1365142714
171	0.1362984201
172	0.1360091079
173	0.1359032733
174	0.1355821827
175	0.1353946065
176	0.1350560307
177	0.1349229323
178	0.1347982764
179	0.134571563
180	0.1344228753
181	0.1342045063
182	0.1339040431
183	0.1335987525
184	0.1333624335
185	0.1330852792
186	0.1329337717
187	0.1327882192
188	0.1325373095
189	0.1323758355
190	0.1322018453
191	0.1319373043
192	0.1317568069
193	0.1316054509
194	0.1314310341
195	0.1312627073
196	0.1311375775
197	0.1309581008
198	0.1306569407
199	0.1304013466
200	0.1300316551
201	0.1298210515
202	0.1296594799
203	0.1293810479
204	0.1291787576
205	0.1290385229
206	0.1288913296
207	0.1287866005
208	0.1286260994
209	0.1284652219
210	0.1282510099
211	0.128129214
212	0.1279109635
213	0.1277277875
