iter	Passed	Remaining
0	1	1888
1	2	1299
2	3	1122
3	4	997
4	4	941
5	5	886
6	6	863
7	6	831
8	7	815
9	8	799
10	8	793
11	9	775
12	10	768
13	10	754
14	11	750
15	12	742
16	12	737
17	13	727
18	13	718
19	14	715
20	15	708
21	15	704
22	16	697
23	17	695
24	17	691
25	18	688
26	18	684
27	19	684
28	21	721
29	22	721
30	22	717
31	23	716
32	24	713
33	25	711
34	25	707
35	26	704
36	26	699
37	27	695
38	28	692
39	28	689
40	29	684
41	29	682
42	30	678
43	31	677
44	31	674
45	32	673
46	33	670
47	33	668
48	34	666
49	34	664
50	35	662
51	36	661
52	36	659
53	37	660
54	38	658
55	39	658
56	39	656
57	40	654
58	40	653
59	41	651
60	42	648
61	42	646
62	43	645
63	43	643
64	44	641
65	45	640
66	45	638
67	46	636
68	47	635
69	47	634
70	48	632
71	48	630
72	49	629
73	50	628
74	50	627
75	51	628
76	52	628
77	53	626
78	53	626
79	54	625
80	55	624
81	55	622
82	56	622
83	56	621
84	57	620
85	59	630
86	60	636
87	61	640
88	63	650
89	64	650
90	64	648
91	65	648
92	66	647
93	67	646
94	67	644
95	68	643
96	68	641
97	69	640
98	70	638
99	70	637
100	71	636
101	72	635
102	72	634
103	73	633
104	74	632
105	74	631
106	75	631
107	76	630
108	76	629
109	77	629
110	78	627
111	79	627
112	79	625
113	80	624
114	80	623
115	81	622
116	82	620
117	82	619
118	83	618
119	84	616
120	84	615
121	85	614
122	85	613
123	86	611
124	87	610
125	88	610
126	88	609
127	89	608
128	89	607
129	90	606
130	91	605
131	91	604
132	92	604
133	93	603
134	94	603
135	94	601
136	95	600
137	95	599
138	96	598
139	97	597
140	97	596
141	98	595
142	99	594
143	99	593
144	100	591
145	101	590
146	101	589
147	102	589
148	102	587
149	103	587
150	104	585
151	104	585
152	105	583
153	106	583
154	106	581
155	107	580
156	107	579
157	108	578
158	109	578
159	109	576
160	110	576
161	111	574
162	111	573
163	112	572
164	113	572
165	113	571
166	114	570
167	115	570
168	115	569
169	116	568
170	117	567
171	117	567
172	118	566
173	119	565
174	119	564
175	120	563
176	121	563
177	121	562
178	122	561
179	123	560
180	123	559
181	124	558
182	124	557
183	125	557
184	126	557
185	127	555
186	127	555
187	128	554
188	130	558
189	130	557
190	131	558
191	132	556
192	133	556
193	133	555
194	134	554
195	135	554
196	135	553
197	136	552
198	137	551
199	137	550
200	138	549
201	138	548
202	139	548
203	140	547
204	140	546
205	141	545
206	142	544
207	142	543
208	143	542
209	144	541
210	144	540
211	145	540
212	145	539
213	146	538
214	146	536
215	147	535
216	148	535
217	148	534
218	149	533
219	150	532
220	150	531
221	151	530
222	152	529
223	152	529
224	153	528
225	154	527
226	154	526
227	155	525
228	155	524
229	156	524
230	157	523
231	157	522
232	158	521
233	159	521
234	159	520
235	160	519
236	161	518
237	161	517
238	162	516
239	162	515
240	163	515
241	164	514
242	164	513
243	165	512
244	165	511
245	166	510
246	167	509
247	167	508
248	168	507
249	168	506
250	169	506
251	170	505
252	170	504
253	171	503
254	172	502
255	172	502
256	173	501
257	174	500
258	174	499
259	175	498
260	175	498
261	176	497
262	177	496
263	177	495
264	178	494
265	179	494
266	179	493
267	180	492
268	180	491
269	181	490
270	182	489
271	182	489
272	183	488
273	183	487
274	184	486
275	185	485
276	185	485
277	186	484
278	187	484
279	187	483
280	188	482
281	189	481
282	189	481
283	190	480
284	191	479
285	191	478
286	192	478
287	193	477
288	193	476
289	194	475
290	194	474
291	195	474
292	196	473
293	196	472
294	197	472
295	198	471
296	198	470
297	199	469
298	200	469
299	200	468
300	201	467
301	202	466
302	202	466
303	203	465
304	203	464
305	204	463
306	205	463
307	205	462
308	206	461
309	206	460
310	207	460
311	208	459
312	208	458
